fixture_id,league_id,season,date,home_team_id,away_team_id,home_team_name,away_team_name,goals_home,goals_away,score_p1_home,score_p1_away,score_p2_home,score_p2_away,score_p3_home,score_p3_away,score_ot_home,score_ot_away,score_pen_home,score_pen_away,status_short,created_at,reg_goals_home,reg_goals_away,target,home_elo,away_elo,elo_diff,home_rolling_goals,home_rolling_conceded,home_btts_rate,home_rest_days,away_rolling_goals,away_rolling_conceded,away_btts_rate,away_rest_days,form_diff,defensive_diff,btts_interaction,rest_diff
194175,146,2022,2022-09-02 18:35:00,1523,754,Farjestad,Villach,7,0,2,0,2,0,3,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,7,0,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194178,146,2022,2022-09-03 13:00:00,549,349,Fribourg,Stavanger,0,1,0,1,0,0,0,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,1,0,1515.0,1500.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194196,146,2022,2022-09-03 13:05:00,534,248,Frölunda,Eisbaren Berlin,7,1,2,0,3,0,2,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,7,1,2,1515.0,1515.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194131,146,2022,2022-09-03 14:00:00,502,253,Slovan Bratislava,Munchen,1,4,0,1,1,0,0,3,0,0,0,0,FT,2026-01-02 16:14:47.584824,1,4,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194143,146,2022,2022-09-03 16:00:00,553,181,Rapperswil,Tappara,1,3,0,2,0,1,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,1,3,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194206,146,2022,2022-09-03 16:00:00,354,556,Katowice,Zurich,2,1,0,0,0,1,1,0,1,0,0,0,AOT,2026-01-02 16:14:47.584824,1,1,1,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194181,146,2022,2022-09-03 16:00:00,747,542,Fehervar AV19,Rögle,1,2,0,0,1,0,0,2,0,0,0,0,FT,2026-01-02 16:14:47.584824,1,2,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194210,146,2022,2022-09-03 16:30:00,239,130,Grenoble,Mountfield HK,3,4,2,1,0,3,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,4,0,1485.0,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194127,146,2022,2022-09-03 18:20:00,751,171,Salzburg,Ilves,2,3,1,0,0,0,1,2,0,1,0,0,AOT,2026-01-02 16:14:47.584824,2,2,1,1500.0,1485.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
194184,146,2022,2022-09-04 13:05:00,1523,256,Farjestad,Straubing Tigers,6,1,2,1,2,0,2,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,6,1,2,1515.0,1515.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194133,146,2022,2022-09-04 13:05:00,543,135,Skellefteå,Trinec,3,2,0,0,0,0,2,2,1,0,0,0,AOT,2026-01-02 16:14:47.584824,2,2,1,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194128,146,2022,2022-09-04 14:00:00,134,538,Sparta Prague,Luleå,2,3,0,1,0,0,2,2,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,3,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194192,146,2022,2022-09-04 14:30:00,592,548,Belfast,Davos,3,6,1,2,2,3,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,6,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194199,146,2022,2022-09-04 16:00:00,173,154,Jukurit,Aalborg,5,3,2,1,1,1,2,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,3,2,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194164,146,2022,2022-09-04 16:00:00,180,555,TPS Turku,Zug,0,4,0,1,0,2,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,4,0,1515.0,1515.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
194218,146,2022,2022-09-04 17:00:00,249,507,Grizzly Wolfsburg,HK Olimpija,7,2,3,0,1,1,3,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,7,2,2,1485.0,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0
194203,146,2022,2022-09-04 18:20:00,355,754,Krakow,Villach,4,2,1,1,1,1,2,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,4,2,2,1485.0,1485.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
194150,146,2022,2022-09-08 15:30:00,130,239,Mountfield HK,Grenoble,3,2,0,1,3,0,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,2,2,1500.0,1470.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
194166,146,2022,2022-09-08 16:00:00,181,502,Tappara,Slovan Bratislava,2,0,2,0,0,0,0,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,0,2,1528.7080052393337,1471.2919947606663,57.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194140,146,2022,2022-09-08 16:05:00,542,747,Rögle,Fehervar AV19,7,1,3,1,2,0,2,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,7,1,2,1528.7080052393337,1471.2919947606663,57.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194147,146,2022,2022-09-08 17:00:00,253,553,Munchen,Rapperswil,5,4,2,1,0,3,2,0,1,0,0,0,AOT,2026-01-02 16:14:47.584824,4,4,1,1528.7080052393337,1471.2919947606663,57.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194214,146,2022,2022-09-08 17:15:00,507,180,HK Olimpija,TPS Turku,2,4,1,1,0,3,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,4,0,1470.0,1500.0,-30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
194152,146,2022,2022-09-08 17:45:00,556,354,Zurich,Katowice,5,1,1,0,2,0,2,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,1,2,1513.7080052393337,1486.2919947606663,27.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194156,146,2022,2022-09-08 17:45:00,555,249,Zug,Grizzly Wolfsburg,4,3,1,2,2,0,0,1,1,0,0,0,AOT,2026-01-02 16:14:47.584824,3,3,1,1530.0,1500.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
194187,146,2022,2022-09-08 18:00:00,248,534,Eisbaren Berlin,Frölunda,2,3,0,1,2,1,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,3,0,1500.0,1530.0,-30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194161,146,2022,2022-09-09 15:00:00,135,543,Trinec,Skellefteå,4,5,0,2,2,2,2,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,4,5,0,1513.7080052393337,1486.2919947606663,27.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
