api_name,csv_name,league,confidence
Leiria,Leiria,P1,100
Sp Lisbon,Sp Lisbon,P1,100
Rio Ave,Rio Ave,P1,100
Academica,Academica,P1,100
Naval,Naval,P1,100
Beira Mar,Beira Mar,P1,100
Kilmarnock,Kilmarnock,SC0,100
Hibernian,Hibernian,SC0,100
St Mirren,St Mirren,SC0,100
Dundee United,Dundee United,SC0,100
St Johnstone,St Johnstone,SC0,100
Hamilton,Hamilton,SC0,100
Inverness C,Inverness C,SC0,100
Rangers,Rangers,SC0,100
Motherwell,Motherwell,SC0,100
Aberdeen,Aberdeen,SC0,100
Celtic,Celtic,SC0,100
Hearts,Hearts,SC0,100
Queen of Sth,Queen of Sth,SC1,100
Raith Rvs,Raith Rvs,SC1,100
Partick,Partick,SC1,100
Stirling,Stirling,SC1,100
Morton,Morton,SC1,100
Ross County,Ross County,SC1,100
Dunfermline,Dunfermline,SC1,100
Falkirk,Falkirk,SC1,100
Dundee,Dundee,SC1,100
Cowdenbeath,Cowdenbeath,SC1,100
Airdrie Utd,Airdrie Utd,SC2,100
Dumbarton,Dumbarton,SC2,100
Forfar,Forfar,SC2,100
Alloa,Alloa,SC2,100
Brechin,Brechin,SC2,100
Stenhousemuir,Stenhousemuir,SC2,100
Ayr,Ayr,SC2,100
Peterhead,Peterhead,SC2,100
Livingston,Livingston,SC2,100
East Fife,East Fife,SC2,100
Elgin,Elgin,SC3,100
Berwick,Berwick,SC3,100
Annan Athletic,Annan Athletic,SC3,100
Queens Park,Queens Park,SC3,100
Arbroath,Arbroath,SC3,100
Montrose,Montrose,SC3,100
Clyde,Clyde,SC3,100
Albion Rvs,Albion Rvs,SC3,100
East Stirling,East Stirling,SC3,100
Stranraer,Stranraer,SC3,100
Valencia,Valencia,SP1,100
Real Madrid,Real Madrid,SP1,100
Villarreal,Villarreal,SP1,100
Santander,Santander,SP1,100
Osasuna,Osasuna,SP1,100
Mallorca,Mallorca,SP1,100
Getafe,Getafe,SP1,100
Zaragoza,Zaragoza,SP1,100
Hercules,Hercules,SP1,100
Malaga,Malaga,SP1,100
Sociedad,Sociedad,SP1,100
Ath Bilbao,Ath Bilbao,SP1,100
La Coruna,La Coruna,SP1,100
Barcelona,Barcelona,SP1,100
Almeria,Almeria,SP1,100
Levante,Levante,SP1,100
Ath Madrid,Ath Madrid,SP1,100
Sevilla,Sevilla,SP1,100
Sp Gijon,Sp Gijon,SP1,100
Espanol,Espanol,SP1,100
Betis,Betis,SP2,100
Albacete,Albacete,SP2,100
Gimnastic,Gimnastic,SP2,100
Recreativo,Recreativo,SP2,100
Granada,Granada,SP2,100
Cartagena,Cartagena,SP2,100
Valladolid,Valladolid,SP2,100
Barcelona B,Barcelona B,SP2,100
Ponferradina,Ponferradina,SP2,100
Vallecano,Vallecano,SP2,100
